"","V1","V2","V3"
"1",0.934,1,0.938
"2",0.998,1,1
"3",0.776,0.744,0.646
"4",0.852,0.982,0.994
"5",0.102,0.096,0.09
"6",0.05,0.07,0.062
"7",0.998,1,1
"8",0.076,0.064,0.054
"9",0.052,0.07,0.056
"10",1,1,1
