"","V1","V2","V3"
"1",0.998,1,1
"2",0.948,0.998,0.956
"3",0.776,0.758,0.69
"4",0.836,0.966,0.988
"5",0.114,0.08,0.072
"6",0.038,0.042,0.038
"7",0.996,1,1
"8",0.996,1,1
