"","V1","V2","V3"
"1",0.048,0.044,0.058
"2",0.464,0.866,0.954
"3",0.164,0.112,0.034
"4",0.082,0.194,0.26
"5",0.048,0.04,0.026
"6",0.048,0.044,0.044
"7",0.05,0.044,0.05
"8",0.638,0.978,0.986
