"","V1","V2","V3"
"1",0.376,0.848,0.944
"2",0.05,0.05,0.076
"3",0.146,0.124,0.046
"4",0.076,0.206,0.304
"5",0.046,0.044,0.066
"6",0.044,0.05,0.048
"7",0.05,0.052,0.07
"8",0.042,0.056,0.076
"9",0.044,0.05,0.054
"10",0.686,0.988,0.998
