"","V1","V2","V3"
"1",0.054,0.054,0.034
"2",0.05,1,1
"3",0.048,0.45,0.982
"4",0.05,0.622,0.998
"5",0.058,0.156,0.568
"6",0.05,0.056,0.058
"7",0.048,1,1
"8",0.048,0.138,0.522
"9",0.044,0.062,0.074
"10",1,1,1
