"","V1","V2","V3"
"1",0.374,0.846,0.784
"2",0.058,0.056,0.074
"3",0.086,0.086,0.072
"4",0.076,0.068,0.084
"5",0.054,0.062,0.064
"6",0.048,0.058,0.054
"7",0.052,0.058,0.07
"8",0.05,0.058,0.074
"9",0.054,0.056,0.052
"10",0.49,0.906,0.998
