"","V1","V2","V3"
"1",0.984,1,1
"2",0.262,0.818,0.926
"3",0.63,0.704,0.668
"4",0.714,0.946,0.988
"5",0.046,0.046,0.048
"6",0.036,0.044,0.036
"7",0.982,1,1
"8",0.896,1,1
