"","V1","V2","V3"
"1",0.046,1,1
"2",0.034,0.034,0.016
"3",0.048,0.462,0.98
"4",0.046,0.61,0.998
"5",0.024,0.122,0.47
"6",0.046,0.044,0.044
"7",0.05,1,1
"8",1,1,1
