"","V1","V2","V3"
"1",0.024,0.054,0.038
"2",0.052,0.448,0.676
"3",0.048,0.08,0.038
"4",0.024,0.06,0.038
"5",0.022,0.02,0.032
"6",0.036,0.062,0.044
"7",0.024,0.054,0.042
"8",0.23,0.864,0.994
