"","V1","V2","V3"
"1",0.04,0.464,0.676
"2",0.042,0.054,0.07
"3",0.06,0.072,0.066
"4",0.032,0.066,0.078
"5",0.018,0.038,0.036
"6",0.044,0.056,0.054
"7",0.044,0.054,0.068
"8",0.02,0.052,0.07
"9",0.044,0.056,0.054
"10",0.264,0.842,0.996
