"","V1","V2","V3"
"1",0.046,0.056,0.042
"2",0.396,0.848,0.802
"3",0.082,0.084,0.04
"4",0.066,0.066,0.052
"5",0.052,0.054,0.044
"6",0.038,0.062,0.038
"7",0.042,0.062,0.04
"8",0.508,0.926,1
