"","V1","V2","V3"
"1",0.478,0.896,0.958
"2",0.058,0.052,0.076
"3",0.186,0.13,0.054
"4",0.082,0.236,0.308
"5",0.064,0.064,0.076
"6",0.044,0.044,0.05
"7",0.058,0.048,0.066
"8",0.056,0.07,0.08
"9",0.046,0.052,0.048
"10",0.758,0.998,1
