"","V1"
"1",0.968915025426786
"2",0.961799017079351
"3",0.963114464412275
"4",0.968530965547518
"5",0.966466643780446
"6",0.964995547728613
"7",0.949941961062726
"8",0.952264461585557
"9",0.958471007121759
"10",0.915894848791742
