"","V1"
"1",0.0119710587592869
"2",0.0097446766590196
"3",0.00917399728381613
"4",0.00301368503797475
"5",0.00231571096872766
"6",0.0048490613595013
"7",0.0282387879937148
"8",0.113029755150344
"9",0.18440488973503
"10",0.194131605706967
"11",0.194679195695579
