"","V1"
"1",0.950049877794097
"2",0.961976388776876
"3",0.964304917401968
"4",0.971278395224763
"5",0.951097131735104
"6",0.85113677959885
"7",0.904249858904136
"8",0.970842695160611
"9",0.972362004067028
"10",0.971452742234489
"11",0.97147786319773
