,0
11757.G440305022,61369.0
11757.G440305391,61365.0
11757.G440305374,61355.0
11757.G441502539,61343.0
11757.G440282187,61252.0
11757.G441284192,61222.0
11757.G440981080,61209.0
11757.G441284074,61209.0
11757.G445302518,61206.0
11757.G440981454,61188.0
11757.G441502052,61170.0
11757.G441424550,61148.0
11757.G440606561,61144.0
11757.G445224374,61085.0
11757.G440205370,61062.0
11757.G441303381,61054.0
11757.G441284200,61011.0
11757.G440104036,60987.0
11757.G441502475,60986.0
11757.G440606374,60919.0
11757.G445224037,60872.0
11757.G441802499,60864.0
11757.G440981516,60829.0
11757.G441502520,60755.0
11757.G445302648,60754.0
11757.G440883517,60719.0
11757.G440606317,60677.0
11757.G440305322,60675.0
11757.G441303388,60655.0
11757.G440305218,60523.0
11757.G445302218,60504.0
11757.G440305527,60454.0
11757.G440305223,60419.0
11757.G441802402,60411.0
11757.G445302404,60345.0
11757.G441284430,60336.0
11757.G440305377,60298.0
11757.G441802608,60237.0
11757.G440883025,60234.0
11757.G445224555,60153.0
11757.G441284197,60139.0
11757.G440981270,60105.0
11757.G441502517,60081.0
11757.G441424381,60049.0
11757.G441424517,60022.0
11757.G441424135,60013.0
11757.G440883188,60007.0
11757.G441303100,59994.0
11757.G440205441,59990.0
11757.G440282362,59957.0
11757.G441802347,59947.0
11757.G440606520,59885.0
11757.G441303618,59883.0
11757.G440981440,59882.0
11757.G441284416,59844.0
11757.G440305529,59842.0
11757.G445224533,59811.0
11757.G445302410,59798.0
11757.G440883095,59674.0
11757.G440305248,59662.0
11757.G440305333,59502.0
11757.G441284138,59492.0
11757.G441502560,59487.0
11757.G445302433,59469.0
11757.G445302112,59464.0
11757.G440305554,59447.0
11757.G440305159,59381.0
11757.G440305096,59362.0
11757.G440305382,59315.0
11757.G441802417,59259.0
11757.G441284479,59113.0
11757.G441424086,59074.0
11757.G441303392,59051.0
11757.G440883131,59025.0
11757.G445302489,59016.0
11757.G445302480,59006.0
11757.G441502585,58818.0
11757.G440305653,58762.0
11757.G440282623,58739.0
11757.G441424551,58715.0
11757.G440606408,58699.0
11757.G440205043,58699.0
11757.G441303556,58698.0
11757.G441502463,58687.0
11757.G440883433,58642.0
11757.G441802533,58638.0
11757.G440305294,58611.0
11757.G441284310,58608.0
11757.G440883549,58540.0
11757.G440981525,58480.0
11757.G440205334,58436.0
11757.G441303396,58424.0
11757.G440104278,58417.0
11757.G440205498,58386.0
11757.G440104347,58379.0
11757.G440305177,58376.0
11757.G445302308,58369.0
11757.G440883309,58317.0
11757.G440205312,58286.0
11757.G441424155,58284.0
11757.G441424251,58191.0
11757.G441802643,58190.0
11757.G445302402,58189.0
11757.G440104099,58148.0
11757.G441802521,58105.0
11757.G441424262,58018.0
11757.G440606417,57922.0
11757.G440305386,57843.0
11757.G440981049,57825.0
11757.G441424458,57780.0
11757.G441424510,57778.0
11757.G440282186,57738.0
11757.G441284397,57665.0
11757.G440104006,57660.0
11757.G440305272,57599.0
11757.G441284193,57589.0
11757.G440205325,57560.0
11757.G440305629,57555.0
11757.G441303165,57553.0
11757.G441502478,57550.0
11757.G441303044,57521.0
11757.G440104504,57519.0
11757.G441303077,57472.0
11757.G441303192,57470.0
11757.G440305258,57465.0
11757.G441502524,57458.0
11757.G441284254,57430.0
11757.G440104492,57421.0
11757.G440981119,57405.0
11757.G440104270,57403.0
11757.G441284319,57332.0
11757.G440606380,57327.0
11757.G440104418,57309.0
11757.G441284326,57307.0
11757.G441303280,57263.0
11757.G441284259,57155.0
11757.G445302413,57142.0
11757.G441303284,57129.0
11757.G441284642,57116.0
11757.G441424582,57116.0
11757.G441502537,57094.0
11757.G441424521,57066.0
11757.G440305310,57009.0
11757.G441284140,57007.0
11757.G440305316,56998.0
11757.G445224614,56992.0
11757.G440305180,56913.0
11757.G440104090,56906.0
11757.G441303387,56880.0
11757.G441424565,56862.0
11757.G440883104,56851.0
11757.G445224228,56827.0
11757.G441424039,56813.0
11757.G441802482,56735.0
11757.G441502557,56714.0
11757.G440981508,56701.0
11757.G440282617,56670.0
11757.G440981472,56668.0
11757.G440104534,56650.0
11757.G440981207,56627.0
11757.G441424326,56590.0
11757.G440305261,56585.0
11757.G440205565,56562.0
11757.G445302651,56534.0
11757.G441284656,56533.0
11757.G445224589,56489.0
11757.G440981447,56435.0
11757.G445302147,56410.0
11757.G445224574,56402.0
11757.G440104072,56391.0
11757.G440981503,56376.0
11757.G441424561,56375.0
11757.G445302101,56374.0
11757.G445302287,56354.0
11757.G441284647,56282.0
11757.G440305514,56229.0
11757.G445224115,56221.0
11757.G440981509,56210.0
11757.G445224306,56206.0
11757.G440981110,56157.0
11757.G441424156,56130.0
11757.G441424386,56102.0
11757.G441502357,56080.0
11757.G441303532,56034.0
11757.G445302383,56000.0
11757.G440282110,55967.0
11757.G445302118,55961.0
11757.G440981187,55952.0
11757.G441424032,55950.0
11757.G441502499,55935.0
11757.G441802502,55919.0
11757.G445302407,55893.0
11757.G440104549,55893.0
11757.G445224554,55874.0
11757.G445224606,55848.0
11757.G440606386,55814.0
11757.G441303104,55811.0
11757.G445302405,55789.0
11757.G440606461,55781.0
11757.G440981141,55763.0
11757.G440883009,55731.0
11757.G440104507,55698.0
11757.G441284009,55685.0
11757.G441303629,55679.0
11757.G440282441,55654.0
11757.G441424548,55654.0
11757.G445224532,55631.0
11757.G440883540,55627.0
11757.G441284372,55596.0
11757.G441303594,55549.0
11757.G440883494,55536.0
11757.G440205339,55521.0
11757.G440305423,55518.0
11757.G440606644,55510.0
11757.G440305120,55502.0
11757.G440883573,55431.0
11757.G440305650,55426.0
11757.G440305491,55406.0
11757.G440981188,55375.0
11757.G440104021,55348.0
11757.G441802031,55298.0
11757.G445224073,55291.0
11757.G441502556,55289.0
