,0
550.L1S225.s.1.sequence,33231.0
550.L6S107.s.6.sequence,33182.0
550.L1S306.s.1.sequence,33171.0
550.L1S307.s.1.sequence,33154.0
550.L1S200.s.1.sequence,33094.0
550.L4S6.s.4.sequence,33044.0
550.L4S114.s.4.sequence,33025.0
550.L4S121.s.4.sequence,32991.0
550.L1S376.s.1.sequence,32989.0
550.L4S77.s.4.sequence,32965.0
550.L1S231.s.1.sequence,32963.0
550.L2S8.s.2.sequence,32929.0
550.L1S201.s.1.sequence,32918.0
550.L1S304.s.1.sequence,32897.0
550.L6S190.s.6.sequence,32891.0
550.L4S51.s.4.sequence,32883.0
550.L1S86.s.1.sequence,32876.0
550.L4S55.s.4.sequence,32865.0
550.L6S157.s.6.sequence,32861.0
550.L4S63.s.4.sequence,32856.0
550.L1S352.s.1.sequence,32853.0
550.L4S186.s.4.sequence,32789.0
550.L1S273.s.1.sequence,32784.0
550.L1S313.s.1.sequence,32742.0
550.L1S361.s.1.sequence,32729.0
550.L1S356.s.1.sequence,32714.0
550.L4S175.s.4.sequence,32698.0
550.L1S199.s.1.sequence,32658.0
550.L1S295.s.1.sequence,32651.0
550.L4S153.s.4.sequence,32620.0
550.L1S320.s.1.sequence,32512.0
550.L6S183.s.6.sequence,32464.0
550.L6S32.s.6.sequence,32452.0
550.L4S23.s.4.sequence,32445.0
550.L4S71.s.4.sequence,32430.0
550.L4S87.s.4.sequence,32421.0
550.L6S120.s.6.sequence,32375.0
550.L4S84.s.4.sequence,32373.0
550.L4S29.s.4.sequence,32342.0
550.L6S329.s.6.sequence,32324.0
550.L4S58.s.4.sequence,32213.0
550.L1S272.s.1.sequence,32192.0
550.L4S185.s.4.sequence,32089.0
550.L1S302.s.1.sequence,32071.0
550.L4S163.s.4.sequence,32047.0
550.L1S226.s.1.sequence,32035.0
550.L4S104.s.4.sequence,32013.0
550.L6S119.s.6.sequence,32003.0
550.L6S303.s.6.sequence,31947.0
550.L4S75.s.4.sequence,31947.0
550.L6S97.s.6.sequence,31941.0
550.L6S109.s.6.sequence,31897.0
550.L6S323.s.6.sequence,31861.0
550.L1S64.s.1.sequence,31855.0
550.L1S314.s.1.sequence,31831.0
550.L4S85.s.4.sequence,31785.0
550.L6S116.s.6.sequence,31725.0
550.L1S360.s.1.sequence,31720.0
550.L4S122.s.4.sequence,31691.0
550.L4S183.s.4.sequence,31687.0
550.L4S193.s.4.sequence,31668.0
550.L6S67.s.6.sequence,31662.0
550.L1S42.s.1.sequence,31622.0
550.L4S49.s.4.sequence,31603.0
550.L4S7.s.4.sequence,31575.0
550.L4S131.s.4.sequence,31561.0
550.L1S344.s.1.sequence,31520.0
550.L1S287.s.1.sequence,31505.0
550.L6S217.s.6.sequence,31488.0
550.L6S63.s.6.sequence,31461.0
550.L4S241.s.4.sequence,31446.0
550.L1S363.s.1.sequence,31438.0
550.L4S166.s.4.sequence,31418.0
550.L4S136.s.4.sequence,31411.0
550.L4S171.s.4.sequence,31376.0
550.L2S95.s.2.sequence,31365.0
550.L6S137.s.6.sequence,31349.0
550.L4S62.s.4.sequence,31341.0
550.L6S59.s.6.sequence,31303.0
550.L6S317.s.6.sequence,31298.0
550.L1S339.s.1.sequence,31289.0
550.L2S1.s.2.sequence,31260.0
550.L2S87.s.2.sequence,31209.0
550.L1S12.s.1.sequence,31190.0
550.L4S165.s.4.sequence,31172.0
550.L1S152.s.1.sequence,31171.0
550.L1S112.s.1.sequence,31083.0
550.L4S199.s.4.sequence,31069.0
550.L4S190.s.4.sequence,31067.0
550.L2S7.s.2.sequence,31064.0
550.L6S159.s.6.sequence,31062.0
550.L4S143.s.4.sequence,31059.0
550.L1S80.s.1.sequence,30983.0
550.L6S121.s.6.sequence,30946.0
550.L4S127.s.4.sequence,30918.0
550.L4S130.s.4.sequence,30886.0
550.L6S330.s.6.sequence,30886.0
550.L6S189.s.6.sequence,30884.0
550.L1S381.s.1.sequence,30834.0
550.L1S286.s.1.sequence,30822.0
550.L6S331.s.6.sequence,30753.0
550.L4S102.s.4.sequence,30750.0
550.L1S329.s.1.sequence,30731.0
550.L1S185.s.1.sequence,30696.0
550.L6S188.s.6.sequence,30692.0
550.L6S8.s.6.sequence,30684.0
550.L1S209.s.1.sequence,30672.0
550.L2S42.s.2.sequence,30627.0
550.L4S54.s.4.sequence,30598.0
550.L6S100.s.6.sequence,30575.0
550.L6S9.s.6.sequence,30551.0
550.L4S217.s.4.sequence,30546.0
550.L6S105.s.6.sequence,30539.0
550.L6S326.s.6.sequence,30538.0
550.L4S208.s.4.sequence,30513.0
550.L1S308.s.1.sequence,30509.0
550.L6S315.s.6.sequence,30508.0
550.L4S162.s.4.sequence,30468.0
550.L2S88.s.2.sequence,30458.0
550.L6S234.s.6.sequence,30394.0
550.L6S289.s.6.sequence,30387.0
550.L1S271.s.1.sequence,30329.0
550.L1S197.s.1.sequence,30328.0
550.L1S97.s.1.sequence,30319.0
550.L4S109.s.4.sequence,30263.0
550.L4S164.s.4.sequence,30176.0
550.L4S123.s.4.sequence,30172.0
550.L4S249.s.4.sequence,30161.0
550.L6S246.s.6.sequence,30160.0
550.L1S121.s.1.sequence,30115.0
550.L6S115.s.6.sequence,30045.0
550.L6S194.s.6.sequence,30041.0
550.L1S291.s.1.sequence,30039.0
550.L1S292.s.1.sequence,30037.0
550.L4S207.s.4.sequence,30036.0
550.L4S139.s.4.sequence,30028.0
550.L4S177.s.4.sequence,30024.0
550.L1S196.s.1.sequence,29978.0
550.L6S42.s.6.sequence,29964.0
550.L6S89.s.6.sequence,29963.0
550.L6S223.s.6.sequence,29959.0
550.L1S311.s.1.sequence,29939.0
550.L1S100.s.1.sequence,29931.0
550.L1S277.s.1.sequence,29922.0
550.L6S123.s.6.sequence,29888.0
550.L1S382.s.1.sequence,29873.0
550.L6S324.s.6.sequence,29867.0
550.L1S194.s.1.sequence,29854.0
550.L6S300.s.6.sequence,29834.0
550.L6S207.s.6.sequence,29809.0
550.L6S301.s.6.sequence,29763.0
550.L6S327.s.6.sequence,29710.0
550.L4S50.s.4.sequence,29696.0
550.L1S285.s.1.sequence,29696.0
550.L1S383.s.1.sequence,29694.0
550.L1S137.s.1.sequence,29689.0
550.L6S4.s.6.sequence,29670.0
550.L1S353.s.1.sequence,29670.0
550.L1S222.s.1.sequence,29645.0
550.L6S280.s.6.sequence,29635.0
550.L6S26.s.6.sequence,29614.0
550.L1S128.s.1.sequence,29597.0
550.L6S90.s.6.sequence,29581.0
550.L6S184.s.6.sequence,29542.0
550.L2S31.s.2.sequence,29503.0
550.L4S216.s.4.sequence,29482.0
550.L1S188.s.1.sequence,29430.0
550.L6S254.s.6.sequence,29416.0
550.L1S336.s.1.sequence,29404.0
550.L6S298.s.6.sequence,29356.0
550.L6S30.s.6.sequence,29354.0
550.L2S89.s.2.sequence,29353.0
550.L1S364.s.1.sequence,29231.0
550.L6S88.s.6.sequence,29220.0
550.L4S172.s.4.sequence,29220.0
550.L6S176.s.6.sequence,29219.0
550.L6S124.s.6.sequence,29217.0
550.L6S179.s.6.sequence,29217.0
550.L6S16.s.6.sequence,29211.0
550.L6S322.s.6.sequence,29177.0
550.L6S213.s.6.sequence,29158.0
550.L1S310.s.1.sequence,29157.0
550.L6S83.s.6.sequence,29153.0
550.L2S43.s.2.sequence,29122.0
550.L1S195.s.1.sequence,29111.0
550.L2S64.s.2.sequence,29085.0
550.L6S114.s.6.sequence,29045.0
550.L1S198.s.1.sequence,29028.0
550.L4S170.s.4.sequence,29012.0
550.L6S132.s.6.sequence,29011.0
550.L6S39.s.6.sequence,28970.0
550.L1S337.s.1.sequence,28962.0
550.L6S297.s.6.sequence,28922.0
550.L4S202.s.4.sequence,28917.0
550.L2S39.s.2.sequence,28916.0
550.L6S143.s.6.sequence,28914.0
550.L1S239.s.1.sequence,28912.0
550.L1S85.s.1.sequence,28900.0
550.L1S186.s.1.sequence,28898.0
550.L2S22.s.2.sequence,28852.0
550.L2S67.s.2.sequence,28845.0
550.L6S58.s.6.sequence,28843.0
550.L6S129.s.6.sequence,28838.0
550.L4S158.s.4.sequence,28824.0
550.L1S136.s.1.sequence,28804.0
550.L4S37.s.4.sequence,28799.0
550.L6S163.s.6.sequence,28782.0
550.L1S2.s.1.sequence,28777.0
550.L1S359.s.1.sequence,28772.0
550.L4S128.s.4.sequence,28762.0
550.L4S169.s.4.sequence,28761.0
550.L2S61.s.2.sequence,28759.0
550.L6S253.s.6.sequence,28748.0
550.L4S187.s.4.sequence,28720.0
550.L1S299.s.1.sequence,28699.0
550.L1S315.s.1.sequence,28693.0
550.L6S164.s.6.sequence,28670.0
550.L6S141.s.6.sequence,28670.0
550.L6S145.s.6.sequence,28646.0
550.L6S215.s.6.sequence,28615.0
550.L6S209.s.6.sequence,28613.0
550.L6S237.s.6.sequence,28595.0
550.L4S191.s.4.sequence,28589.0
550.L6S55.s.6.sequence,28586.0
550.L1S216.s.1.sequence,28569.0
550.L1S207.s.1.sequence,28566.0
550.L4S112.s.4.sequence,28558.0
550.L4S182.s.4.sequence,28548.0
550.L4S265.s.4.sequence,28541.0
550.L6S65.s.6.sequence,28522.0
550.L1S250.s.1.sequence,28511.0
550.L6S128.s.6.sequence,28507.0
550.L2S63.s.2.sequence,28504.0
550.L6S149.s.6.sequence,28487.0
550.L1S108.s.1.sequence,28472.0
550.L1S322.s.1.sequence,28469.0
550.L2S18.s.2.sequence,28466.0
550.L6S311.s.6.sequence,28464.0
550.L6S321.s.6.sequence,28458.0
550.L4S180.s.4.sequence,28435.0
550.L1S358.s.1.sequence,28391.0
550.L1S319.s.1.sequence,28370.0
550.L1S57.s.1.sequence,28364.0
550.L4S110.s.4.sequence,28363.0
550.L1S210.s.1.sequence,28358.0
550.L4S146.s.4.sequence,28353.0
550.L1S350.s.1.sequence,28343.0
550.L6S33.s.6.sequence,28338.0
550.L1S202.s.1.sequence,28330.0
550.L1S345.s.1.sequence,28326.0
550.L6S264.s.6.sequence,28321.0
550.L2S9.s.2.sequence,28314.0
550.L6S139.s.6.sequence,28310.0
550.L4S225.s.4.sequence,28309.0
550.L6S233.s.6.sequence,28307.0
550.L6S222.s.6.sequence,28274.0
550.L6S148.s.6.sequence,28272.0
550.L1S300.s.1.sequence,28246.0
550.L4S133.s.4.sequence,28232.0
550.L6S285.s.6.sequence,28224.0
550.L6S231.s.6.sequence,28191.0
550.L1S351.s.1.sequence,28176.0
550.L4S45.s.4.sequence,28145.0
550.L6S256.s.6.sequence,28127.0
550.L4S279.s.4.sequence,28109.0
550.L6S79.s.6.sequence,28103.0
550.L6S278.s.6.sequence,28086.0
550.L6S161.s.6.sequence,28081.0
550.L6S310.s.6.sequence,28062.0
550.L6S24.s.6.sequence,28045.0
550.L1S187.s.1.sequence,28030.0
550.L6S181.s.6.sequence,28025.0
550.L6S294.s.6.sequence,28012.0
550.L1S275.s.1.sequence,27991.0
550.L6S318.s.6.sequence,27969.0
550.L1S219.s.1.sequence,27969.0
550.L6S174.s.6.sequence,27954.0
550.L4S120.s.4.sequence,27953.0
550.L4S117.s.4.sequence,27914.0
550.L6S152.s.6.sequence,27912.0
550.L4S167.s.4.sequence,27912.0
550.L1S150.s.1.sequence,27911.0
550.L6S151.s.6.sequence,27908.0
550.L1S270.s.1.sequence,27887.0
550.L6S305.s.6.sequence,27881.0
550.L6S316.s.6.sequence,27874.0
550.L4S157.s.4.sequence,27859.0
550.L1S331.s.1.sequence,27848.0
550.L6S202.s.6.sequence,27842.0
550.L6S75.s.6.sequence,27840.0
550.L6S269.s.6.sequence,27838.0
550.L6S279.s.6.sequence,27828.0
550.L2S81.s.2.sequence,27825.0
550.L1S205.s.1.sequence,27822.0
550.L6S51.s.6.sequence,27818.0
550.L1S144.s.1.sequence,27817.0
550.L1S177.s.1.sequence,27811.0
550.L2S32.s.2.sequence,27807.0
550.L4S159.s.4.sequence,27807.0
550.L6S53.s.6.sequence,27805.0
550.L6S153.s.6.sequence,27802.0
550.L1S119.s.1.sequence,27798.0
550.L6S244.s.6.sequence,27783.0
550.L6S155.s.6.sequence,27774.0
550.L6S186.s.6.sequence,27773.0
550.L2S90.s.2.sequence,27765.0
550.L1S251.s.1.sequence,27743.0
550.L6S225.s.6.sequence,27732.0
550.L6S325.s.6.sequence,27731.0
550.L1S208.s.1.sequence,27726.0
