"","V1"
"1",0.840990604992758
"2",0.788529126429235
"3",0.776089175834829
"4",0.791016855960818
"5",0.78691277871432
"6",0.794046068628417
"7",0.754482514965077
"8",0.795890946831973
"9",0.782472740964331
"10",0.778697957909269
