"","V1"
"1",0.0430382188279693
"2",0.0335814869949127
"3",0.030457097800449
"4",0.021861620333135
"5",0.018000278736939
"6",0.0511198302162216
"7",0.138628083312841
"8",0.127651192173459
"9",0.107352231039672
"10",0.104051665478358
"11",0.103093742806729
