"","V1"
"1",0.749902157682473
"2",0.804578632542503
"3",0.776647143191203
"4",0.792862995516405
"5",0.793993986715306
"6",0.846014679383399
"7",0.951258523030171
"8",0.963209107197765
"9",0.965332587789604
"10",0.96574905347339
"11",0.963971430985269
